,댓글
168,갓연아님 누가 뭘해도 세상은 당신이 최고라는걸 알고있어요 사랑해요 ㅠㅠㅠㅠㅠㅠ️️️️️
169,저 메달의 색이 금이 아니더라도 이미 이경기를 본 모든사람 마음속에서는 영원한 금임.....
170,"물론 금을 받았어야 하며, 그런게 당연하지만.. 이런 상황이 더 김연아를 빛나게 하는.. 피눈물이 나지만.. 제 입술은 미소를 짓고 있습니다. : )"
171,예쁜김연아는 우리의 역사며 영웅입니다!
172,해설자분이 사람이 됐네 참된 해설이여
173,2019년 4월인데 하.. 방금 금메달 영상보고 감동하고 와서 또 가슴 답답하고 화난다ㅡㅡ
174,진짜 고귀하다. 우리김연아선수.
175,정말 금메달따는 순간의 기쁨은 누구에게나 있지만 연아때가 정말 최고였지   은메달 우습지 그냥 금메달♡♡이야 세계가 인정하지
176,2년이나 지났지만 다시 볼때마다 분노가 차오른다
177,이정도로 다른나라 사람들도 김연아를 인정해주고 분노했으니 김연아도 이젠 마음 풀렸겠지? 오히려 은메달을 받아서 슬프지만 더욱 아름다웠던 경기였음
178,몇년이 지나서 봐도 말이안된다
179,저 때 이후로 피겨 안봄 더러운 피겨계 편파판정 하루이틀도 아니였지만 올림픽에서 까지 저러니 정떨어짐 지금 봐봐 점수 퍼주기로 대충 아무나 200점 다 넘음 ㅋㅋ
180,모든 상황을 제외하고도 진짜 피겨스케이팅 좋아하는 사람이라면 화낼만 하죠.. 실수도 없고 완벽했는데 2등이라뇨 올림픽 피겨스케이팅 역사상 가장 아름다웠다고 해도 과언이 아닌데...
181,스포츠는 둘째치고 이게바로 정치라고 합니다. 러시아가 아이스하키에서 형편없게 져서 국제연맹에서 그대신 위로상으로 금메달을 선물했다할까? 그게 바로 한국이 세계정치에 아무힘이 없다는 뜻이에요.
182,진짜 눈물난다 금메달 너네 가져라 진정한 챔피언은 김연아다
183,우리 연아 ㅜㅠ 얼마나  서럽고 억울햇을까...ㅠㅠ
184,근데 져도 클라스차이 진짜 존나 멋있다 우월감이 온 공간을 다 지배했네
185,이탈리아해설 숨넘어가겠닼ㅋㅋㅋ
186,지금 봐도 눈물이 나네. 음악은 처절하게 슬프네. 이미 비극을 예감한것 처럼
187,역대 동계올림픽을 통틀어서 최악의 조작이지..
188,러시아포함 누구나 인정하는 세계최고에 피겨스케이팅 선수.... 금메달이 아닌 은메달을 준다는 것을 생중계로 볼때 어린아이였던 내가 처음으로 시발이란 단어가 나왔었다...  머야 조아요 왤케마너
189,저때 너무 분해서 잠이 안왔는데 몇년이나 지나서 지금 봐도 숨이 콱막히고 열불통 터지는데.. 저걸 연아는 어떻게 견뎠을까? 정말 강철멘탈 김연아
190,금메달을 도둑질 당했지만 그것때문에 진짜 피겨여제의 자리는 영원함... 전세계가 인정하게 되어 버림 특히 전문가들이...
191,우리나라 단점 :진짜 별의별일 다 일어나고 안좋은일 ㅈㄴ만이 일어남  우리나라 장점:그와중에 다 이겨내고 잘 성장함
192,지금도 화나고 속상하다. 러시아와 중국 일본 북한은 정말 꼴보기 싫다. 사라졌야 할 국가 아닌 국가
193,끝까지 기억하고 기억하라 ‘김연아’의 능력과 역사함을 올림픽을 더럽힌 ‘저것’들의 만행을
194,I happened to see this video while I was watching YouTube. I'm so angry. It just took away the legend of two consecutive Olympic gold medals in history. When will we be able to meet this kind of player again? I'm sure this Italian broadcaster feels the same way.
195,이 해설자님 최소 김연아님 팬인듯 ㅋㅋ큐ㅠ 하긴 어떻게 연아 언니 팬이 아닐 수 있겠어... 이렇게 완벽하신데...
196,이럴때 많이느낀다 일단 나라는 강해야된다 국격도 높아야되고 인지도또한 높아야한다 한국하면 외국인은 작고 힘없는 가난한나라를 떠올린다 
197,연아 우는 거 보니 내 맘찢ㅠㅠ 2020년 지금 봐도 분하네요!  하지만 우리 맘 속에 영원한 금메달리스트 연느님!^^
198,"아 진짜 저때 아직도 기억난다 생방 보다가 진짜 화나가지고 티비 부실뻔했는데 ,,"
199,"김연아의 시니어시절 프로그렘중 가장 완성된게 아디오스 노니노임.. 레미제라블은 당시 김연아의 상황과 합쳐져 감동적이었지만 피겨의 정점이라고 할수있는건 노니노임 저런 수준의  프로그렘은 따라할수 있는 사람이 영영 나오지도 못할수있을정도인데 하필 무대가 소치라서 나쁜빙질+점프할때 소리지르는 러시아남자까지 추가됐고, 이는 최고의 난이도에 자체 하드모드를 더해서 퍼펙트 클리어를 한격임.."
200,메달색깔은 중요하지 않아요 이미 그녀는 우리의 마음속에 영웅이며 ‘김연아’ 당신은 최고 입니다 
201,전세계가 다 아는 불편한 진실이지 금메달강탈사건.
202,멋지다 연아. 나는 메달보다 연아의 그 휘몰아치듯이 감정 넣으면서하는 팔과 어깨 그 모든동작들이. 너무 멋있고 물결같아서 참 좋았어 연아경기할때 실시간으로볼때 그 처음 죽음의무도 봤을때랑 only hope.노래..속에서 그모습을 처음 접했을때 진짜 충격이였지 새로운 세계 분야 놀라운걸 처음접했을때 그 기분은 잊지못하지
203,진짜 보통의 선수라면은 화가 날건데 특히 연느는 더 화가 나도 모두가 동의하고 이해해줄건데 무슨...연느가 진정한 여왕님이다 저렇게 억울한 상황에서도 품위를 잃지 않는 연느는 여왕이고 챔피언이다...연느님 존경합니다
204,"이때, 러시아는 금메달을 좋아했고 세계는 김연아를 좋아했다"
205,다시봐도 슬픈ㅜㅜ
206,냬인생 37년살면서 정말로 연아킴은 스포츠 종복최고의 여성으로서 최고였다.
207,2019년에도 봅니다.. 연느  2020년에도 봅니다.. 연느 
208,은메달을 얻게 되서 가슴아프지만 그래서 더욱 팬들의 가슴속에 오랫동안 남는 연아퀸이 되었쥬  그냥 금메달이었다면 지금보다 더 아끼는 마음이 약간은 적었을지도 모르겠네요 ㅎㅎ 
209,소트니코바랑 심판 껴안는 장면이랑 연아선수 우는 장면이랑 대조되서 가슴 아픔...
210,역사는 결과를 중요시 하지만 전체적인 커리어와 역대선수를 논할때 이미 최고의 반열에 김연아만 올랐기 때문에 충분히 빼앗긴 금메달로 남을거임.
211,실력이 말해준다!! 김연아는 스포츠 종목 불문 역대 최강자다 라이벌이 없는 유일한 선수!
212,이렇게 해서 그녀는 레전드가 된겁니다. 영웅에게 시련은 양념인거죠. 누가 봐도 금메달을 뺏어서 준거니 영원이 이야기가 전해 질겁니다.
213,알 수 없는 유튜브 알고리즘  이 나를 여기로 이끌었다
214,"내가 뭐 한것도 아닌데, 벅차오르냐..! 감사합니다 연아킴..! 한국의 자랑 ㅎ"
215,나라가 힘이없어서 당신의 금메달을 지키지못했습니다만약 당신이 미국인이였다면 이런 어이없는일은 일어나지 않았을겁니다그럼에도 불구하고 나라를 사랑해줘서 고맙습니다...
216,2021년 나이 50에 또 시청 하네요...사연 많은 은메달이였기에 흔한? 금메달 보다 소중했습니다.  이를 대하는 김연아 선수의 흐트러지지 않는 표정과 자세....한 참 어리지만 존경 합니다.
217,와.... 2020에 다시봐도 진짜 열받네.. 김연아선수 우는거 보니까 내가 미안해서 찡해지네.
218,"22년 평생 욕쓰시는걸 못보고 엄청나게 차분한 어머니와 소치 생중계를 보던 중 김연아 선수 연기가 끝나고 어머니와 저는 진짜 박수를 치며 너무 잘했다고 기뻐했습니다    김연아 선수가 앉아서 점수를 기다리다가 점수가 공개되고 어머니 입에서 ""저런 시× 도둑노메 새끼들"" 라는 말씀을 하셨죠"
219,시간이 지날수록 더 명확해짐 김연아는 여전히 레전드로 기억하고 형광나방은 형광나방으로 남았을뿐..이름도 기억잘안남
220,김연아  당신이 금메달이에요 사랑합니다
221,"아 어쨌든 김연아는 2관왕임,,, 피겨 퀸이란말이다!"
222,대한민국에서 최고로 존경하는합니다 몇년이 지나 영상을봐도 정말 성질나고 눈물나네요 세계가 인정하고 제마음속에 최고에 일등입니다 감사합니다 동시대에 
223,영원한 연아퀸
224,"아디오스 진짜 어려운 프로그램이었고 세계신기록도 나올 수 있을만큼 4년 동안 성장했고 완벽하게 클린이었는데,, 금메달 뺏긴 것 때문에 맘 아파서 잘 찾아보지도 못하겠고 그 가치만큼 평가받지 못하는 것 같아서 열받음"
225,"항상, 연아양 에게 감사의 감동을 받아요."
226,공적으론 러시아 선수의 금메달이겠지만 사람들은 단한번도 조작된 기록을 가지고 금메달을 딴 선수를 생각한적없죠.. 김연아의 것일뿐
227,피겨판은 워낙 막장이라 점수채점기준도 계속 바뀌고 그래서  저때 연아가 세웠던 세계기록 점수들 다 유명무실해져버림. 변방에서 나온 천재의 기록을 두고 볼 수 없었던 듯. 지금은 점수 다 인플레 되어서 200점은 기본으로 넘어버림. 저때 여자선수 최초로 200점 넘은게 연아.  특히 소치 때 연아가 대단했던 것이 원래 경기를 하다보면 선수들은 넘어질것을 대비해 점프 후 약간의 여유시간을 둠. 넘어져도 다음 연기로 이어지는데 지장이 적게 말이지.. 
228,와 진짜...새삼 너무 대단하다...김연아 선수 뺏긴 메달이 몇개야 도대체ㅠㅠㅠㅠ 아 진짜 개빡쳐ㅠㅠㅠㅠ 그 실력으로 왜이렇게 힘없고 약한 곳에서ㅠㅠㅠ 아 왜인지 억울하고 미안하단말예요ㅠㅠㅠㅠㅠㅠㅠㅠ 우리나라의 선수인 것이 자랑스러운 동시에 너무 마음이 아픕니다...우리나라가 더 힘있는 나라였다면..ㅠㅠㅠㅠㅠㅠ
229,그래서 더더욱   길이길이 기억될  별 입니다.  너무  슬퍼마세요....   무슨말이  더  필요하겠습니까....  사랑합니다.
230,세상에서 가장 빛나는 은메달
231,너무 열받지마요^^누구도 그녀가 금메달인걸인정안하는게 팩트^^김연아선수를좋아했던 이유는....멋있는사람...결과를 받아들일수없는 점수지만 올림픽이란 대회이니 텃세도 생각했을거고 마지막 무대에 최선을 다했던거에 의미를 뒀을거에요^^
232,"더러운 금메달 잊지않는다, 소트니, 이곳 심사위원들은 맘대로 점수를 빼거나 더한다고. 잊지않을거야 돌아와라 금메달 주인이 잘못됬다."
233,ㅋㅋㅋ 이거 보니 포토스튜디오 알바할 때 사장과 싸운기억나네 김연아가 못했다고  소트니가 회전도 빠르고 점프도 잘했다고 ㅋㅋㅋㅋ 김연아 2등이 당연하대서  왜 사람들이  당신보고 발로 보정한다는 지  알겠다고 ㅋㅋㅋ 그렇게 피겨 중계잘하면 빙신 연맹가서 빙신 같은 짓 하며 심사위원하랬는데 ㅋㅋㅋㅋ  그 스튜디오 망함
234,"뜬금없지만 김연아랑 아사다마오랑 가장 비교되는 게 멘탈적인 부분도 있음. 아사다마오는 실수하거나 분위기가 편안하지 못하면 실력 발휘를 못하는데, 김연아는 연습때의 독기부터 시작해서 멘탈이 대단해서 러시아의 험악한 분위기에도 실력을 충분히 보여준다는..."
235,김연아~~사랑합니다~♡
236,이래서 금메달은 가질수 있는자만이 얻어야만 하는거다... 이런 거짓으로는 받았으면 않되는거였다.. 받았다고 해도 본인꺼가 아니기때문에 앞으로 내가더 성장하느냐?아님 나락이냐?불보듯 뻔한상황...
237,직설적으로 말해주니 속이 뚫리는 듯 하지만.. 마음 한 켠이 참 슬프네. 주인 찾아가지 못한 금메달의 마음은 또 어떠하리
238,김연아 선수를 보면서 느낀건 결국 남는건 메달이 아니라 경기라는거..몇년이 지났지만 사람들은 연아 선수의 프로그램만을 기억하지 누가 금메달을 땄는지는 기억도 못함
239,덤덤한척 웃고있지만 나중에 우는모습 보니까 진짜 찡하다 ..저런 더러운곳일줄이야
240,이게 해설이지 ㅋㅋㅋㅋ 멋진 사람들이야 저분들도
241,이야 진짜 다시 봐도 10번봐도 김연아 존나 이쁘다 ㄹㅇ
242,이탈리아 선수보다 김연아 선수 해설에 진심으로 화난게 너무 웃겨섴ㅋㅋㅋㅋㅋ
243,ㅋㅋㅋㅋㅋ 우리나라보다 이탈리아 해설이 더 우리 감정이네 ㅎㅎㅎㅎ 퀸연아의 마지막이라서 아쉽지만 저런 일이 있어서 세계적인 유명인이 된 것 같다 ㅎㅎ
244,Long Live The Queen️
245,역시...해설위원들은 진실을 알고 말한다.....
246,얼마나 억울했을까...
247,그와중에 김연아 선수 진짜 너무 이쁘다...
248,"아직도 혈압이 쭉--------- 오릅니다..욕 못하는데..아는 욕,모르는 욕 다하고싶습니다. 스포츠에서 어떻게 이런 사기를 대놓고 친겁니다..이런일이 가능하다니...."
249,해당국가도 아닌 해설가가 저 정도로 부정할 정도면 진짜 엄청난 일이긴 하다.
250,또 와서 울고 있는 나...
251,김연아 진짜 예쁘다
252,이게 개빡치는게 정말 열심히 한 사람이 은메달을 목에 건게 진짜 너무 화가 나겠지....
253,진짜 ㅅㅂ 유도 한일전 때도 그렇고 사람 코치 없애고 ai가 직접 코치 맞아야 정확함
254,세계 최고임은 변함없다. 김연아 외쳐!
255,와근데 이탈리아 해설자분들 칭찬이 먼가 무서웤ㅋㅋㅋㅋ 엄청 적극적이야
256,"이번에도 비슷한 일이 일어났네요,,"
257,"소트니코바는 김연아를 제치고 금메달을 땄음에도 세계는 그녀를 인정하지 않았고, 은메달을 받았음에도 세계에서 김연아를 최고로 인정하는것 이게 제일 중요한것이라고 생각합니다. 김연아 선수 힘내세요..."
258,'왜 우리의 스포츠를 망가뜨리려고 하나요?' 진짜.. 맞말이다. 누가 봐도 소트니코바는 당연히 동메달도 못 딸 무대였는데 어떻게 완벽한 연기를 보여준 김연아를 제치고 금메달을.. 하지만 소트니코바도 알고 있을 거임. 본인이 딴 메달이 본인의 것이 아니라는걸. 손바닥으로 하늘을 가릴 수 없으니까.
259,정정당당 해야 할 스포츠계가 타락해 버렸다.
260,All time legend Queen Yuna
261,금메달을  협잡으로 강탈 ...이때 올림픽이 더럽혀졌다  생각함..이때의 분노가 아직도 있다  그렇지만 세계인들은 저 금메달이 김연아선수것임을 알지
262,03:27 8년이 지난 지금도 적용되는 팩폭
263,ㅋㅋㅋㅋㅋㅋ진짜 심사위원 대단하다~
264,본인이 양심적으로 메달 시상할때 김연아 목에 금메달 걸어줫으면 진짜 역사적으로 길이 남앗을텐데 흑역사남깃네 ㅋㅋㅋㅋㅋ
265,"어떤 스포츠든 공정하고 깨끗해 질수 없다는 명백한 증거 ,,,"
266,이래서 나라가 힘이있어야돼 남에게서 무엇을뺏는힘이아닌 저런 빛나는분들을 지킬수있는힘...
267,일본방송에서도 인정안했는데 말이 안됀다규
268,"마지막 올림픽에서 은메달. 그리고, 조작인걸 알아도 쿨하게 웃으면 넘기는 김연아. 그냥 이건 최고였다."
269,볼때마다 밑에서부터 ...ㅜㅜ  세계가 인정한 우리 연아....하늘도 알고 세계가 알고....그 누군가의 본인의 양심일듯...
270,지금도 화가난다 정상적인 사람이 심사한거 맞나?
271,저 은메달은 세계는 물론 김연아선수에게도 절대 잊지 못할 은메달일듯
272,저렇게 완벽해질때까지...얼마나 고단한 노력들이 필요했을까... 그녀의 울음에 그 모든게 담겨있는 것 같다.
273,"이 경기의 챔피언이 누구인지는 누가봐도 확연하다. 다만, 오직 한 나라와 한 사람만 모르거나 억지를 부리고 픈 것일 뿐. 소트니코바는 부적절한 금메달을 한 번 목에 건 댓가로 올림픽 경기의 부조리함과 불공정한 심판이 언급될 때 마다 목메달고픈 부끄러운 기억과 따가운 눈총을 받게 될 것 이다. 왜냐하면 누가 부족했고 누가 완벽했는 지는 일반인의 시선 보다 훨씬 전문가인 선수의 눈엔 더 확연한 것일 테니까!  그 뚜렷한 차이를 자신의 목에 걸린 금메달을 어루만지며 애써 왜면해야하는 고통. 소트니코바가 밉다가 측은해지는 이유다. 이러한 결과가 조금이라도 설득력이 있을라치면 김연아가 최소 한 번이라도 넘어졌어야 하는건데!"
274,이날의 경기는 잊지못할것같다...
275,김연아 선수 등장이전 피겨스케이팅의 전설이었던 지금도 김연아 선수와 함께 피겨스케이팅의 퀸으로 기억되는 카트리나 비트 선수도 2014 소치 김연아 선수의 은메달에는 분통을 터뜨렸죠. 모두가 인정할 수 없었던 금메달이었고 때문에 모두가 인정하는 피겨스케이팅 1위는 금메달보다 가치있는 은메달을 가져갔습니다.
276,이건 몇년이 지나도 빡치냐 10년지나도 20년 지나도 이 영상보면 아무리기쁜일이 있어도 없는 화가 치밀어오를듯
277,공부를  드럽개  열심히해서  고등학교  대학교에  떨어저도  슬프고  빡치고하는데 저건  신체척으로  아프고   공부는 아프지는안고  정신적으로  피해가지만  진짜  저정도로  열심히하고  은매달  . . .   그와중에  안슬픈척   손까지  흔들어  주고 . . .  진짜  영 웅  그자제
278,김연아 너무 예쁘다
279,아 ㅈㄴ 멋있어 우리 연느
280,높은 자리에 가장 높은 권력을 가진자라도 다른 자들이 인정하지 않으면 그 권력은 쓸모없다
281,해설 카운터 ㅋㅋㅋㅋ 유쾌 상쾌 통쾌 ㅋㅋㅋ 아쉽지만 나름 해외에서도 다른 많은 사람들이 알아준다는 부분도 기분 좋을 듯 ㅎㅎ
282,149점을 따내야 금메달인 상황에서 144점을 받았는데 은메달이면 대체 쇼트 점수는 얼마나 천상계..?
283,그 어느때 보다 은메달이 빛나는 순간이다
284,가슴이 웅장해진다...
285,"비교가 안되지 생판 처음 올림픽에 나와서 실수 연발하는 스케이터와 완벽한 클린 연기에, 세계 기록을 몇 번씩이나 갈아치운 스케이터와는."
286,이탈리아에 살면서 김연아 선수의 이탈리아 해설을 들으면서 이 사람들은 국적을 불문하고 정말 뛰어난 선수에 대해서는 정말 객관적이고 극찬을 아끼지 않는 걸 보게 됩니다. 심지어 어떤 해설자는 김연아를 천사와 같다고 합니다.  국민성의 차이인지 몰라도 다른 국가 해설자들도 마찬가지지만 이탈리아가 더 솔직하고 직접적인 평가를 합니다. 완벽하단(perfetta) 말을 몇번이나 반복 하는지. ㅋ
287,연아  최고입니다 심사 엉털리 대한민국에선 모든국민연아가  금메달이라는 걸알아요
288,I don't need to speak Italian to know that what the commentators are saying is gospel truth. :/ I'm glad Yuna took it well.
289,안타까운건 금메달 보다도 세계기록이다. 모든 사람들이 보기에 완벽한 연기였고 모두가 인정했지만 심판들은 인정하지 못하고 최고의 연기를 묻히게 했다는점 그게 너무 안타깝다.
290,피겨를 스포츠에서 예술로 승화시킨 김연아 선수.   김연아 선수 이전에는 예술 점수가 뭔지 잘 몰랐다.
291,아니 왜 소름돋고 나도 모르게 눈물이 나냐. 내가 더 억울하다 형광 나방아 너 진짜... 빛만 쫓다가 열에 쓰러져버려라
292,메달은 그렇다치고 똑바로 평가했으면 신기록 새로쓰면서 은퇴할 수도 있었는데 그게 참 빡침.. 그때 1차에서 저정도 점수받은것도 심판중에 한국인이 한분계셔서 똑바로 점수 줘서 그나마 상쇄된거고 1차에서도 원래 더 나왔어야했는데 예상보다 적게줘서 소트니랑 점수차별로 안나게 줬다고했음..아 ㅂㄷㅂㄷ아직도 기억선명하네
293,소트니코바가 금메달 확정되고 뛰어가서 서로 껴안고 좋아죽는 사람이 누군지 아심? 바로 이경기 심사위원 입니다ㅋㅋㅋ 시발 즉당히 해야지 대놓고ㅋ 심지어 피겨 심사위원도 아님ㅋㅋㅋㅋㅋ
294,저 상황에서 클린 연기가 나온 것도 놀랍고 그냥 너무 잘했는데 누가봐도 금메달은 퀸연아 였는데... 왜 하필 소치에서 열려서 라는 생각이 들 정도ㅠ
295,지금봐도 열받는다. 분이 가시지 않는다 영원히...
296,저렇게 해서 이기면 좋을까? 아무도 모르게 행한 것도 아니고 모두가 비리를 아는데 참..부끄러워서 얼굴도 못 내밀고 다니겠네
297,"금메달도 빛이 나야 금메달이고 빛이 나지 않는 금메달은 금메달이 아니다. 김연아 선수의 연기는 최고였고, 나는 믿어 의심치 않는다. 은메달도 값진 것이고 세계 모두가 그녀를 인정하였으니, 그녀가 진정한 금메달 우승자이다."
298,스포츠는  죽었다 돈과권력에 죽었다 하지만 순위를떠나서  전세계는 김연아를 전설이라부른다
299,메달은 뺏겼지만 진정한금메달이 누군지는 다아는거죠? 우리의스포츠를 망치려하나요 팩트!
300,김연아 선수 응원하려고 늦은 새벽까지 안 자고 기다렸는데 클린하게 경기 끝내고 인사할 때 가족들이랑 대단하다고 감탄 오지게 하다가 점수 뜨자마자 할 말 잃고 30분 정도 침묵하고 있었음 ㅋㅋㅋ
301,대놓고 뺃어간 금메달.. 연아의 초연함.. 세상은 다알고있지.. 연아야 넌 내게 영원한 금메달이다...
302,소국가의 희생양의 긑판왕의 경기였다 김연의아의 루틴과 부드려운 텐션 고급스런 시그니처 최고였다 그애비해 러시아 선수는 마치 통나무같은 저급한 루틴을 구사했다 허나 그녀가 금메달이었다 오심의 기네스북 감이다
303,애써 웃는게 짠하네 그래도 세상 모든 사람은 다 알거임 금메달의 진짜 주인이 누구인지
304,"세계에 길이 남을 피겨계, 아니 인간계의 전설"
305,노력과 재능과 인성이 완성된 선수를 김연아라고 한다.
306,우리연아! 얼마나 우리에게 큰 기쁨과 자랑스러움과 아름다움을 주었는지.  이 때에 열받은 걸 생각하면.
307,진짜 토악질 나왔었지 이때 ㅋㅋ..
308,비교대상이 안된뎈ㅋㅋㅋㅋ 아진짜 웃곀ㅋㅋㅋㅋㅋ너무 맞는말만 골라서해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
309,런던1초랑 더불어 한국의 올림픽 역사상 가장 이해할수 없는 장면
310,역시 정의는 김연아다
311,"실력으로 받을 수 없는 점수를 받았고, 앞으로 평생 자신이 슬럼프라는 착각을 하며 살아야한다"
312,이탈리아 해설가 너무 흥분해서 말할 틈을 안줰ㅋㅋㅋㅋ 심지어 자기네 나라 선수가 연아님 빼고 가장 유력한 금메달 후보였는뎈ㅋㅋㅋㅋㅋㅋㅋ
313,아 씨발 심장아파... 빡친것도 있는데 누나 개이뻐ㅠㅇㅠ
314,연아선수 
315,금메달의  가치는 본인만 알겠죠.누가 진짜  금메달의 주인공인지  시간이 지나도  기분좋은  승리는 아닐겁니다.
316,우리나라가 힘이 없어서... 죄송합니다 연아님....
317,말도안돼...소치에서 열린게 말도안돼!!
318,솔직히 지금 현재 러시아에 실력 장난 아닌 피겨 선수들 많은데 여전히 선수이름 소트니코바 말고 기억안남 그정도로 실시간 보여진 러시아의 금메달 강탈은 충격적인 사건이었음
319,참 김연아선수님 대단하다 ㅠㅠ 하 도둑놈들
320,왜 공산국가였던 나라에서 올림픽을 열면 안되는지 깨닫게 해준 경기 그리고 힘없는 나라가 얼마나 비참한지 보여준 경기.... 우리나라의 위상이나 힘이 중국이나 일본 정도급이였다면 저딴 말도 안되는 장난칠수 있었을까... 그래도 한국에서 태어나 주셔서 고맙습니다
321,전세계사람들이 인정했던 김연아의 금메달이상의 스케이팅...정작 러시아선수 본인은 자기가잘해서 금땃다고 지금까지도살고있을려나 불쌍하네...
322,여왕이시여 영원하소서....
323,누가 뭐래도 우리 연아님은 전세계의 베스트 오브더 베스트지!~~~
324,이걸보고도 화내는 댓글밖에 달수없는게 너무 미안한기분이다..ㅠ
325,해설위원 말투에서 살기가 느껴져...
326,대한민국 전국민을 분노하게 한 그 장면
327,인생사 새옹지마 오히려 이거 때문에 아주아주 오래오래 연아가 최고라는게 기억될거다!!
328,이 사건은 절대 잊혀지지 않을거다. 잊지 않을거다.
329,제대로 심판보고 점수 매겼으면 밴쿠버기록이랑 비빌수있었을텐데
330,금매달 가져간 소트니코바가 두고 두고 후회하겠죠 처음부터 금매달은 연아 것이 아니었음에도 아름답게 최고의 무대를 보여준 그녀가 아름다웠지
331,지금봐도 열받아요... 얼마나 힘들었을까요 연아선수는
332,이것만 보면 분노가 독이되어 오르고 일부러 안보러고 외면한다. 본래 러시아와 중국은 계략과 교활의 중심에 선 나라아니던가.
333,와 지금 .. 동계올림픽 보는데 이 영상이랑 중국 지금 행실이랑 너무 흡사해서 소름돋네 ㅋㅋ 역시 공산주의국가들은 끼리끼리구나 ㅋㅋ
334,거의 지금의 하은별과 배로나임 진짜 퀸연아ㅠㅠㅠㅠㅠㅠ️
335,김연아선수를 능가할선수가있을까요? 최고입니다. 김연아선수세계가알고있습니다. 울지말고 아파하지마세요. 최고입니다. 
336,나 저때 초등학교 저학년이었는데 그때는 ‘잉 김연아선수 어차피 실력 겁나 좋으니까 별로 금메달 안아깝지 않나?’ 요따구로 생각했었는데 지금와서 보니까 존나게 빡치네
337,2011년 일본 월드챔피언십 무산되고 러시아에서 개최했을때부터 뭔가 ISU랑 러시아간의 모종의 거래가 시작됬을거 같은 느낌적 느낌이 항상 들어요. 지금 여싱피겨계 러시아판으로 흘러가는거 부메랑으로 꼭 돌아왔음 좋겠네요
338,역사에 길이 남겨야 할
339,"아 c8 진짜 시간이 지나도 화나네... 펜싱,쇼트트랙도 빡쳤고...하... 공산국가는 어쩔 수 없구나...아 아니지? 미국도 그랬으니..."
340,이날 난 열 받아서 머리가 터지는 줄 알았음 욕하고 난리쳤음 피겨 역사상 가장 훌륭한 선수에게 그런 편파 판정을 서슴없이 내리다니 다시 봐도 뚜껑이 열렸다 닫혔다 하네요 그리고 연아님은 우리 가족빼고 세상에서 가장 사랑스러운 분 흐흐흐 좋아~
341,우리 연아의 은퇴 경기를....ㅠㅠ  수치 올림픽으로 평생 기록되겠죠..
342,수준있는 눈이 아니더라도 누가 금메달인지 모두가 안다.  올림픽 자체가 타락을 선택했기에 다시 돌려준다해도 받기 싫은 더러운 금메달이다. 연아의 은메달은 어떤 금메달 달보다 값지다. 
343,아름다운 경기이자 알고리즘이였다
344,"내가 다른 사람 몰라도 金연아 금연아는 인정한다 그전 올림픽 金메달 딸 때, 그전엔 늘 웃던 그가, 어릴 때의 목표 이뤄 울었던..그리고 올림픽 금 목표이뤄 눈물이 나더라 인터뷰하던"
345,이탈리아 해설자도 진짜 통쾌하다 카타리나가 김연아보다 예술적인 면에선 부족하데 해설자도 약간 아쉬웠을듯
346,스케이트 강국이라고 자부하는 나라에서 지금까지 올림픽 금메달 없어서 강탈을 해간 세계적인  사건입니다 감히 발끝도 못따라올 실력으로...
347,"러시아스포츠 자체가 도박을위한 돈거래 수단입니다 이미밝혀진바있어요 자국에서하는 배구,탁구,아이스하키,축구 등등 해외대형 도박업체랑 짜고 치는 각본이라고 보도된적있어요  러시아스포츠 극혐합니다"
348,올포디운 선수!!! 김연아님 존경합니다!!!
349,제가 예전에 꿈이 김연아님처럼 되는거였는데... 너무하네요ㅠㅠ
350,개웃김ㅋㄱㅋㄱㅋㅋㅋㅋㅋ공식 해설일거 아니야ㅋㅋㄱㅋㅋㅋㅋ이건 강도질이에요! 맞는말..
351,이게 그 레전드 '실제로는 금메달'ㄷㄷ
352,은메달이면 어떠하리 그 은메달은 세상에서 알아주는 세상 하나뿐인 더욱 가치있는 메달일터인데.
353,우리나라 사람들이 저 당시에 원통하고 화나는 마음을 다 합친 것보다 마음아플 연아퀸 생각하니 내가 다 빡치네 에라이
354,다시 봐도 기특하고 할말을 없게 할뿐이죠 예뻐요
355,"도둑메달 후 어느 것도 증명하지 못한 선수, 올림픽 전에도 한 번도 제대로 된 성과나 고득점도 기록해보지 못한 선수, 오직 러시아 금메달 위해 조작으로 전세계가 인정하지 않는 추악한 선수가 돼 버린 걸 지금은 알고 있을런지... 시간이 더 흐른 후엔 가장 부끄러운 기록과 기억으로 남지 않을까 한다. 별말 없이 흘린 눈물의 김연아가 고귀해 보일 뿐이다. 피겨여왕은 증명하는 것이 아닌 우러러 볼 대상이니 김연아의 역사는 모두가 기억할 것이다 ."
356,모두가 금메달을 예상했는데....
357,연아가 우리에게 준 가장 아름다운 선물이었죠 그저 연아의 아디오스 노니노를 볼 수 있었음에 감사 또 감사.
358,레전드는 편파 판정에서도 당당함 갓연아
359,2020년에도 와서 빡치고감. 길이길이 기억속에남을것이다 썩은금메달과 가장빛났던 은메달.
360,러시아란 나라가 존재하는한 스포츠 역사에 길이 남을 흑역사. 또한 전세계인의 분노를 받은 영상.
