,댓글 작성자,댓글,좋아요 개수,하트 유/무
921,곰탕,소리 안 들리는 게 정상맞죠?,1,없음
922,삐삐콩,진짜 잘하는 사람은 아무것도 모르는 사람이 봐도 우와 진짜 잘한다 라는 생각이 들게 하는 사람이라고 생각함. 근데 소트니코바는 알고 봐도 모르고 봐도 너무 못함;; 무슨 프로그램을 했었는지도 기억이 안 나네..,0,없음
923,김그지,참고로 소트니코바가 달려가서 안은 사람은 코치가 아니라 심사위원입니다. 예 대놓고 뇌물이죠,0,없음
924,Si Ba,절대 올림픽이 두번다시 중국과 러시아에서 하면안되는것을 전세계에 광고하는 날이였지. 앞으로 두나라는 카타르의 2~3배이상 로비는해야지 올림픽 할수있을듯.,0,없음
925,밍키릿,진짜 내 인생에서 최고로 얼탱없던 순간... 줫같네 ㄹㅇㅋㅋ,1,없음
926,제르난디안,단 1회성 금메달을 뺏기위해 연기한 러시아제 나방,0,없음
927,헬로,저거 달려가서 안긴거 심사위원한테 안긴거잖아 어이없음ㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅅㅋ,0,없음
928,로니콜먼의축복,더러운 금메달과 아름다운 은메달,1,없음
929,히히,내가 이거 집에서 볼 때 처음으로 아빠 앞에서 ㅅㅂ... 라고 욕해버렸다,0,없음
930,착한댓글희망전도사,0:00 무작정 찬양시작 2:50 욕하기 시작,0,없음
931,Gun Lee,어차피 러시아 선수가 펜스에 대가리 처박고 선지를 질질 흘려도 금메달 줄건데 그게 불곰국 아니냐.. ㅎㅎ,1,없음
932,정재욱,"이래서 내가 심사위원이 채점하는 종목을 싫어함. 체조, 피겨, 다이빙, 스케이트보드, 서핑 등등... 주관이 너무 들어가게 돼 납득하지 못하는 경기 결과가 나오기 때문. 이에 비해 득점 규정이 좀 더 명확한 구기 종목, 단순 비교로 우열을 가리는 기록 종목이 훨씬 직관적이고 객관적인 스포츠다. 예술성을 평가한다는 것 자체가 개인적으론 어떻게 이해해야 하는지 모르겠다. 압도적 우위를 보인 김연아조차도 금메달을 따지 못한 것 만으로 스포츠로서의 한계가 있다고 생각함.",0,없음
933,Luna kim,아고.. 그때의 안좋은 기억이 올라온다 ㅋㅋㅋㅋㅋㅋㅋㅋ ㅜㅜ 그래 유투브에 소트니코바 쳐봐라 뭐 제대로 나오니 ㅜㅠ,0,없음
934,Sayd Wow,ㅠㅠ,0,없음
935,식빵,안쪽팔릴까....,0,없음
936,JOO,다시봐도빡쳐진짜...,0,없음
937,Young LEE,아 다시 봐도 빡치네요 도둑쉑키들;,0,없음
938,god kao,다시봐도 빡치네 진짜,0,없음
939,이애옹,제목만 봐도 개빡쳐서 못보겠다 ... 소치 생각만 하면 피가 거꾸로 솟음,0,없음
940,9713 Park,이어폰 끼니 음성이 정확히 들리네요.,1,없음
941,배드마우스 게임채널,ㅠㅠ,0,없음
942,밍죠,나였으면 전세계인이 지켜보든 말든 코트니한테 가서 좋냐 도둑뇬아 했을텐데 시발 ㅠㅠ 그저 빛.. 연아선수님 존경스러워요,0,없음
943,헬시생,진짜 이때 나도 모르게 치킨먹다 닭다리 던졌는데 아직도 그때만 생각하면 치킨 존나 아까움  그래서 결론은 언제 닭다리 던질지 모르니까 교촌허니콤보로 시키자,1,없음
944,냐옹,지금봐도열받네  연아가 금메달이다  나쁜것들아,0,없음
945,YR K,다시봐도 열받네여,1,없음
946,최정배,존나팼던  러시아분한테 미안하네,0,없음
947,0uk,흙보다 못난 금 다이아보다 아름다운 은,0,없음
948,이상아,양궁에  카메라가없고  심판이  판독하는 거였으면  대한민국은 8연패 못했을꺼다  예나지금이나   국력은 어쩔수없나보다......,0,없음
949,새하얀우유,김연아 금메달 되찾기 서명운동인가 뭔가 있었던거 생각나네,0,없음
950,T없,우리나라도 이런적있는데,0,없음
951,Kloro Rusilhurrfe,"일본 러시아 중국 이 세나란 올림픽, 월드컵 등 개최 금지 시켜야 함",1,없음
952,V-mon팩트,졷트니코바 수준은 갈라쇼인가? 거기서 잘 나왔었지ㅋㅋㅋ,0,없음
953,말랑고양이,ㄹㅇ 새벽에 보다가 열불났지,1,없음
954,1상태,개인적으로 김연아가 대단하지만 피겨라는 종목이 너무 별로지않냐... 인종차별 대놓고하는 스포츠임,0,없음
955,빙밧,ㅈ같은 심판에 좋아서 미소 짖는거 웰케 보기가 싫지;;이러면 안되는거 알긴 하는데...,0,없음
956,그대의눈동자에건배,기술점수 지랄똥싸네 기술을 건들여 ㅋㅋㅋ,1,없음
957,Wallet Cup,3:30 정확히 기억은 안나지만 소트니코바가 뛰어가서 안기는 저 아줌마. 심사위원이었나? 여튼 심사에 관여하는 사람인 걸로 알고 있음.  저것만 봐도 답 나오죠?,0,없음
958,Bollywood Masala,진짜 총알티비 여캠들 수위 개쩐닼ㅋㅋㅋㅋ,0,없음
959,Sammuel C,누가 봐도 도둑질이라~ 더런 놈들,0,없음
960,네 녀석은E단이다.,심사위원! 어떻게 된거야?,0,없음
961,용동,ㅋㅋㅋㅋ 러시아는 소련때부터 약빨고 미국이랑 싸우더니 ㅋㅋㅋㅋ,1,없음
962,NICK KIM,동계올림픽 역사상 최악의 흑역사... 올림픽정신... 지랄,0,없음
963,징어냥이,저때 대통령와서 주작편친걸로기억,0,없음
964,주댕이,소트니코바 그 협회가문제지ㅋㅋㅋ,0,없음
965,Park Violetta,이경기가 러시아에게 벽느끼게 만든 경기임. 약을 했는데도 그냥 사람에게 안돼? 그럼 더 쎄게 해!,0,없음
966,BONG HI,부덕의 소치,0,없음
967,NJ VIBE - playlist,소련여자 이거 사과하는 영상 만들면 조회수 100만 넘는다,0,없음
968,프로댓글러,나방년 금메달은 무슨;; ㅋㅋ 올림픽에 출전도 겨우한 수준인데 ㅈㄴ 웃기네,0,없음
969,Brian K,저때는 푸틴의 압력이 얼마나 강했는지 볼 수 있던 ㅆㄹㄱ 같은 올림픽이었음..,0,없음
970,롤랄랄라라랄,이탈리아 남자 해설자 다른 사람한테 말할 틈을 안주네 ㅋㅋㅋ,0,없음
971,jw Choi,각종 홈버프 텃새 때문에 금메달 도둑맞은거 지금도 똑똑히 기억난다. 외신들도 다 알고있고. 금메달 딴 소트니코바는 그 이후로 자취를 감췄드라? 근황이고 뭐고 없어. 그냥 먹튀지.,0,없음
972,감딸기,3:10 자신한테도 당당하지 못한 금메달 받고 행복할까?,0,없음
973,배재원,개빡쳤지이때 ㅋㅋㅋ,0,없음
974,윤민지,근데 왜 아무도 동메달 발언 안함,0,없음
975,Anthony Kim,"진심 벤쿠때보다 더 열받는다 지금봐도 정말 빡치네 젠장;;    중계해설 내용을 들으니깐, 더 화난다;ㅓㅏ;ㅓ;ㅣ.ㅏ,",0,없음
976,P ream,"저런 최고를 보여주고도 보이는 입모양 ""아깝다""",0,없음
977,●,여기서 소트니코바가 김연아한테 금메달을 건네주는 그림이 생겼다면...,0,없음
978,노란딱지,그런데 저거 직접 본 사람으로 말 하자면 대부분 사람들이 연아킴 연아킴 외치고 있었는데 점수 보고 이 ㅅㅂ 이게 점수냐? 라고 함,0,없음
979,Rolypolymolly Kim,그냥 나라가 약한거죠.. 미국이였어봐요 저딴식으로 행동했을가 ..,0,없음
980,최용한,우리나라만 소트니코바 기억할껄 ㅋㅋㅋㅋ 그냥 퀸연아의 메달을 뺏은 사람으로만 그이상 그이하도 아님 ㅋㅋㅋ 피겨선수라는것도 연아가 피겨를 하기에 아 걔도 피겨선수겠구만 이정도?,0,없음
981,G,올림픽이라는 자체가  결국엔 인간이 주도 하는것,0,없음
982,웅,아마 내가 크게 사과하는 한이 있더라도 해설이었으면 쌍욕했다,0,없음
983,우와,들을 때마다 화나서 몰랐는데 이탈리아 중개 거의 협박이네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
984,헬데,이건 '강도질%,1,없음
985,강승은민,3:05여기서 달려 나갈 때 왤케 뒤통수 쥰내 후려치고 싶게 생겼냐 개빡치네,0,없음
986,몽룽,나방 진짜 심했어,2,없음
987,윰쿄,ㅋㅋ소트니코바는 저 금메달 거절 안하고 신나서 쟁취한게 영원히 고통받을 짓이었다는걸 나중에 뼈저리게 후회할거다 ㅋㅋㅋㅋㅋ소치올림픽하면 형광나방 영상이 계속 돌아다닐테니 ㅋㅋㅋ진짜 금도 아닌 모형뿐인 금메달이 뭐가 중요함ㅋㅋ세계인들이 인정한건 대한민국의 김연아인데ㅋㅋ소트니코바야 금메달 너 가져. 명예는 연아느님이 가져갈테니,0,없음
988,nugi,저때가 2014년 소치올림픽이었나 아버지는 일나가셨던걸로 기억하고 엄마랑 동생이랑 앉아서 보는데 13살짜리 입에서 시이발이란 욕이 나오게 했어야했냐,0,없음
989,K Sijun,저때 눈가리고 아웅 식으로 소트니코바에게 금메달 줬더니 베이징에선 아예 약물 대놓고 빨고 출전. 이게 무슨 올림픽이냐,1,없음
990,고독한러너,소트니코바 쪽팔린줄 알아야지 ㅉㅉㅉ,0,없음
991,부엉이,무슨 쳐넘어져도 점수더받는게 경기냐?,0,없음
992,시에익,나 같으면 심사위원 머리에 벽돌 찍었다,0,없음
993,박태후,걍 러시아 중국은 없어져야 함,0,없음
994,MS K,코로나로  중국 러시아 일본 없어젔으면 좋겠네요,0,없음
995,Mx2 Jang,다시봐도 개빡침 ㅡㅡ,0,없음
996,김민석,1등 받은애도 도 양심 없는듯 내가 받았으면 알아서 메달 반납함,0,없음
997,성재,금이라고 다 금이 아니지,1,없음
998,장태원,노노노노노노노노노노노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
999,jjj,이미 전세계 모두가 인정한  김연아 메달은 그저 쇠 덩어리 일뿐. . . .,0,없음
1000,브락 뚜릭닥,야 내가 소트니코바였으면 ㅋㅋㅋ 쪽팔려서 도로 반납할듯 ㅋㅋ,2,없음
1001,고똘,다시 보고 오늘 봐도 빡치네.. 푸틴형 좀 그랬어..,0,없음
1002,김정현,싫어요가 499야 난 유혹을 버텨내겠다,0,없음
1003,정영훈,오노 그 새끼가 이걸보고 신이 나겠어!,2,없음
1004,백만원,어휴  열받어,0,없음
1005,도우너,소트니가 금메달 김연아한테 주고 본인이 은메달 가져갔으면 김연아보다 더 떳을텐데 생각을 못했군,0,없음
1006,정연,나같으면 점수주는 사람들 있는쪽으로 스케이트 벗어 던졌을거야. 이때 진짜 역겨웠음 러시아들 퉤,2,없음
1007,이명승,IOC를 원망하자~~ 받은돈이 많으니 도핑 걸렸는데도 단 두명만 메달 취하하고 딜한거겠지~~~ 추악한 IOC~~~ 지금도 변하지 않았음을 항상 보여주네요~~ 세계가 인정하지 않고 러시아는 여론이 어떤지 모르겠네요~~ 소트니는 창피함이란걸 모르고 온갖 핑계 다 대더니~~ 갑자기 은퇴~~~ ㅋㅋㅋ,0,없음
1008,붕날라디차푸까마,이번도핑사건으로  소트니코바 금메달 박탈할수도 있다네요  그금메달을 여왕님에게 자동으로 전달될것이라고 합니다  유트브에서 그런기사가 있네요  당시 러시아가 추최측이라 전수조사가 제대로 이루어지지않아었고 우리 여왕님 은퇴식을 망치게한 나방한테 너무 열받아서 울었던기억이있어요 ,0,없음
1009,АЯНЕ КИМ,내놔라 금메달도둑 형광나방 ㄴ아!!,1,없음
1010,ㅇ,진짜 러시아..더럽다 너무 더럽다,1,없음
1011,꿈결,저때 러시아라는 나라 이미지가 많이 망가졌었음..,0,없음
1012,김원홍,소트니코바가 만약에 인정하고 금메달포기하겠다 그랬으면 민심은 어떻게됬을까?,0,없음
1013,굿럭에 심장 잡힘..너무 좋은걸?,첨테 부담스런 줌;;ㅋㅋㅋㅋㅋ,0,없음
1014,윤나래,애초에 저 나방이 금메달이,0,없음
1015,박제사,저때 관객들 단체로 심사위원 대가리에 레이저 일제사격 했어야 함 ㄹㅇ,0,없음
1016,JY J,차라리 소트니는 은메달 받았으면 욕도 덜 먹었을 테고 자기 위치에 잘 맞는(물론 은도 과분하지만) 메달이었을 텐데 러시아의 욕심으로 평생 먹을 욕은 다 먹고 본인도 떳떳하지 못하고 매번 비교당하고... 혼자 정신승리나 오지게하고 잇겟지,0,없음
1017,싹싹,어릴 때라 기억이 잘 안 나는데 어떤 상황이에요??,0,없음
1018,Electronic Boy,난 지금도 소치 금메달리스트는 김연아라고 생각한다. 그녀는 올림픽 2연패했어,0,없음
1019,Hynn돼지,연느님 미소뒤로 깊은빡침이 보인다 아 다시봐도 개빡치네ㅋ,0,없음
1020,Peter the Man,Grazie Italia~ -Greetings from South Korea ^^,0,없음
1021,니아,빙상계가 더러운건 해외도 마찬가지구나,1,없음
1022,Gazua,"다 좋은데, 영상은 왜 반복해서 붙인 건가요",0,없음
1023,오늘 하루,시작전에 금메달은 이미 정해져 있었음 주작질 올림픽,0,없음
1024,마독기윤,소트니코바 좋단다ㅋㅋ쓰레기 심사위원들한테 받아놓고ㅎㅎ불쌍타ㅋ그냥 잘줬다ㅋ,1,없음
1025,SH S,갑자기 이탈리아 호감이네 ㅋㅋ,0,없음
1026,지지울,금메달:아..아니 왜 이새끼가 나 가져가냐? 은메달:읭..??... 왜 이 사람이 날 가져가냐?...,0,없음
1027,roaroa Yoon,ㅎㅎ 소트니코바 게다가 도핑의혹 장난 아님 . 저정도 연기를 절대 해본적 없다고 함 . 약물 하고도 실력은 김연아를 뛰어넘지도 못했고,0,없음
1028,sonu kr raj,?? 아닠ㅋㅋㅋ 마카롱티비 나만 알고 싶은 어플이었는데 ㅠ,0,없음
1029,헬로네이버,불나방쇼에서 실력지대로 보여줬지 ㅋㅋㅋ  갈릭쇼인지 갈라쇼인지,0,없음
1030,치즈다오,걔낸 금메달훔쳐서 1개가지는게좋나? 세계에서 아직도김연아는 전설이다,0,없음
1031,명군,아오 지금봐도 개빡치네;;;;;;,0,없음
1032,Traveler Paris,도핑 검사 할때 연아한테 온갖 더러운짓 다하고 수치스럽게! 그렇게 컨디션 망가트려도 완벽하게 해버리니 강도짓을 해버리네. 참 어처구니가 없다.,0,없음
1033,HANSUNG RYU,소트니코바는 쪽팔린것도 모를듯...,0,없음
1034,실버 이렐 원챔,하... 얼마나 어이없으면 해외 해설자도 저러냐     진짜 ㄹㅇ 뒷돈 받은거 ㅈㄴ티 나네,0,없음
1035,하늘요람,사실 눈꽃 여왕은 엘사가 아니라 연아;,0,없음
1036,doha kim,쇼크트렉 보고 다시와봅니다...ㅠㅠ,2,없음
1037,lee창원,진짜볼때마다 빡치네,0,없음
1038,임인호,러시아 나방 소트니코바..  올림픽 이 후.. 그 어디 경기에도 나오지 않음,0,없음
1039,phoenix kang,소트니 코바 금메달 받자마자 잠수타고 은퇴해버림.  자기 자신이 제일 잘 알고있겠지.,0,없음
1040,요리보고,개최국 어드벤테이지도 적당히 써야지 이런 개최국 망신스러운 경우를 보다니 쩝... 국가수준 기대이하이군요ㅠ,0,없음
1041,초록말고기,올림픽 이전이나 이후로 소트니코바가 한게 뭐임?,0,없음
1042,김지후,스케이트보다가 여기까지왔는데 몇번을봐도 개빡치네,0,없음
1043,Arch,백금이었다는게 정설,0,없음
1044,sueyoung park,"해설자도 러시아가 혹시 꼼수부릴까봐 앞부분에 연아가 당연히 우승해야한다고, 계속 강조하는것같이 들리는데.....결국 빼앗기고...",0,없음
1045,우주최강일처다부제,역시 사람이 저렇게 높은 자리까지 가는 이유가 있네.... 난 저 자리에서 속으로 ㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅆㅂㅅㅂ거리고 표정 석창 났을 것 같은데....,0,없음
1046,ajob gamer,진짜 댓글보고 성인인증하고 가니깐 수위 개쩔더라,0,없음
1047,반가달슴곰,골드 메달 시프~,0,없음
1048,더기더기,이 영상 왜 이어폰 한쪽만 끼면 이상한 소리 들리죠?,0,없음
1049,G-G E,ㅅㅂ 볼때마다 열받네.,0,없음
1050,신지용,이탈리아 사람들도 다혈질이지ㅋㅋㅋ근데 저건 봐도봐도 빡치네,0,없음
1051,JW DK,음성이 제대로 안나오는 것 같은데요..?,2,없음
1052,에스프레소,푸틴이 메달 뺏은거지 뭐 그 이후 약물사건 터지고 크림반도 먹고 하면서 자기 국기 못달고 오는 나라 되버렸지 ㅋㅋㅋ,1,없음
1053,Joker,푸틴이 심사위원 가스벨브 잠궜나봄,2,없음
1054,월광,진짜 다시봐도 빡친다 소트니코파서 쌍코피 나라 그냥,0,없음
1055,BIckddn,다 금메달이라 니까 은메달 나름 이쁘게 생각할거같은데 ㅋㅋ 그리고 소트니코바 은퇴하고 러시아 드라마 나온다던데 ㅋㅋㅋㅋ,0,없음
1056,세하,지나가던 개가봐도 김연아가 금메달,0,없음
1057,그ᄃᄀᄉ,이날부터 숫자는 213으로 센다,2,없음
1058,바다바다,"소트니코바도  사실 기자회견하거나  김연아가 더우수하다  메달주인공은 김연아이다 말한번햇으면  욕안묵엇지 ,오히려 박수 박앗을지도 .러시아가 주는 메달인데 받아야지 머 별수잇나",0,없음
1059,문네렁Moon,피겨계가 얼마나 더러운지 만천하에 알린듯,0,없음
1060,배수,아 이거 갑자기 생각나서 개빡치네,0,없음
1061,후나이,도둑맞은 금메달,0,없음
1062,본능.,언제부터 금 값이 은보다 떨어진거냐,0,없음
1063,MK Lee,세계의 여왕을 불러다 빅엿을 먹였으니 열이 받지.,0,없음
1064,아온,금메달 받았바짜 모해 인정을 안해주는데,0,없음
1065,A LEE,원래 올림픽이 부페와 조작이 판치는곳... 그래서 올림픽 안봄..,0,없음
1066,명선유튜브,형광 나방이 우아한 백조를 어떻게 이겨? ㅋㅋ,0,없음
1067,- ASTROMENT -,밴쿠버 150.06 받을때 와 미친소리 육성으로 튀어나왔었는데,0,없음
1068,mduuk,ㄷㄷ,0,없음
1069,깡깡,궁금한게 결과 나온뒤 관객석?에서 뭐라고 외치는건가요???,0,없음
1070,KT P,우리나라가 힘이 없는건지 힘이 있는데 찐따같이 눈치만 보는건지 ㅋㅋ,0,없음
1071,한설아,왜 소리가 안들리죠ㅠㅠ,0,없음
1072,이이충학,"이때의 심판들, 부그러움좀 아세요. 연아는 그냥 웃고 말지요. 이제는 스케이트 라는 말 듯는것 자체가 신물 난다고~",0,없음
1073,to you,먹고 떨어져  그 드러운 금메달 ㅎㅎㅎ 다시봐도 어이없네 게다가 갈라쇼는 헛웃음이 나왓지,0,없음
1074,Moon,아 몇년만에 다시 봐볼라고 해도 열이 먼저 뻗쳐서 못보겠음,0,없음
1075,주현준,그냥 공산국가가 평소에 하는 짓거리를 스포츠에서도 보여줬을 뿐임 ㅋㅋ,0,없음
1076,SπdR,1:11 빡쳐서 은근슬쩍 소치 마스코트 인형에 헤드락을,0,없음
1077,김호드,"스포츠정신따위는 잘모르는 대표종족: 러시아, 차이나, 일본  주변이웃국이 다 너무하니ㅣ",0,없음
1078,소리알,이 사건 이후 그 나방뇽은....흔적도 없이 쳐사라졌다는...마치 횃불로 쳐 뛰어든 나방처럼...형장의 이슬처럼...ㅇㅈ,2,없음
1079,dodo kwon,05:35 도망치는거같네 ㅋㅋㅋㅋㅋ,1,없음
1080,누누,I love Italy,0,없음
1081,헤온,도둑맞은 금메달,0,없음
1082,ᄋᄇ네임드,러시아만세!!,0,없음
1083,시바개귀여웡,이거.....뒷돈의혹이 있었다고.... 어디서 들었는대........맞나???? 일본이였던가??????,0,없음
1084,코너맥그리거,소리 왜 이상하게 들리냐,2,없음
1085,여정뽀뽀,메달이 뭐가 중요해 실력이 증요하지,0,없음
1086,킹죠,이번 중국도 그렇고 아무튼 공산국가는 올림픽 개최 막았으면 좋겠다 그냥 중국 러시아 니들끼리 운동회 해라,1,없음
1087,HOON,노노노노 랑 강도질이에요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
1088,Ulsia,보면서 가장 빡쳤던 순간...러시아 나방새기,0,없음
1089,차국환,러시아의 단점 쪽팔린다는것을 모름~~~전혀모름,0,없음
1090,함이현,니뽄스가 심사위원과 회식한썰?!,0,없음
1091,nuri Kang,이래서 사회주의 공산주의 사회민주주의 놈들은 못믿겠어,0,없음
1092,성이름,3위 받아야 할 4위가 젤 빡쳤을 듯 형광나비 땜에 ㅅㅂ,1,없음
1093,온누리상품권폐지하라,칼 안든 강도네,0,없음
1094,조규훈,금매달... 어차피 김연아는 다이아몬드 급인걸~,0,없음
1095,푸키푸키,볼때마 열받내,0,없음
1096,12 Twe,여자배구도 약쟁이들이랑 했는데도 아무말도 못하는게 한국 현실,0,없음
1097,PUDDING black,은반위 최고의 메달이 은메달 아님?,0,없음
1098,이광현,러시아 ㅋㅋㅋㅋㅋ 이때 전세계적으로 이미지 떡하락함,1,없음
1099,벅딸룡,아니 도대체 이탈리아 Cielo가 뭔데,0,없음
1100,So Ya,저것은 백금이다...,0,없음
1101,김상길,추악한 금메달 화려한 은메달 김연아가 보여준것은 대한민국 국민의 위대함 이걸 볼때마다 러시아 사람들은 쪽팔릴 겁니다 소트니코바는 금메달을 반납했어야 합니다,0,없음
1102,정지훈,색은 은색이지만 사람들은 모두가 그색을 금색으로 봣습니다,0,없음
1103,될놈만된다,스포츠 원래 더러워 몰랐나 ㄹㅇㅋㅋ,0,없음
1104,이름,이날 화나서 밤샌사람 존나 많았을거다 나포함,1,없음
1105,김현서,으 역하다 ! ! 그 잘난 친분관계로 딴 금매달 니가 땄다고 많이 자랑하고댕겨,0,없음
1106,3235 Jun,너희들은 왜 질투를 하는거야? 일본도 러시아도  ㄹㅇ 한국인인게 문제냐?,0,없음
1107,Km,00:07    뒤에 태극기 국뽕ㅋㅋㅋㅋㅋㅋㅋ (앞에 러시아 국기좀 빼주지 태극기만 보게 ㅎㅎㅎ),1,없음
1108,lak5267,한국2002월드컵 만큼이나 오심,0,없음
1109,ᄒᄒᄒᄒ,약국의 서러움,0,없음
1110,앞산짱돌,지금 봐도 빡치네,0,없음
1111,박준영,저거 근데 러시아 정부인가? 매수해서 소트니코바 받게해준거임,0,없음
1112,나무,내가 다 억울해서 잠못잘거같은데 받아드리는게 참 그릇이다르네 나랑은 🥲,0,없음
1113,신준,자기들끼리 북치고 장구치고 할거면 다른나라는 왜 부름ㅋㅋㅋㅋㅋ동네운동회냐 해설처럼 나라망신 제대로 시켰네,0,없음
1114,엄마전나중커서커트코베인이될래요!,카타리나 씹사기챔 너프좀;;;,0,없음
1115,Green Herb,심지어 약물복용도 했을텐데 러시아선수는..,0,없음
1116,Arm Rashid,왘ㅋㅋㅋㅋ 여캠들 이렇게 쉽게 벗었나 레알 지리네 ;;,0,없음
1117,[하잌]이프로,이탈리아 코로나 끝나면 놀러가서 돈써줘야지ㅠㅜ우리편 들어주면 다 내편이야ㅜㅜ,0,없음
1118,김정은,ㅆㅂ 나였으면 메달 집어던지고 욕박고 그냥 나갔다,0,없음
1119,쟁이,스트레스 쌓이니까 이런 내용 그만올려요 김연아랑 당신 친해요? 국뽕에 의지해서 조회수나 올리는.. 한심하네요.,0,없음
1120,최형배,역시 공산당피의 나라는 못속이네ㅋㅋㅋ,0,없음
1121,저런,내가 해설자였으면 ㅋㅋㅋ 욕한사발하고 논란의 중심에 섰다,0,없음
1122,장태원,개빡치네 연아 누나 울잖아 심판들아,0,없음
1123,이진영,러시아의 국제망신 ㅋㅋ,0,없음
1124,Meong,편집중간에 중복이 많네 씁... 아주 보기 불편한 편집을 했군,0,없음
1125,이건좀..,내가 이거 이후 올림픽을 안보지...ㅁ,0,없음
1126,iax L,이런류의 얘기 하고싶지 않은데 소트니코바가 저 러시아 심사위원들 침대에 몇번 갔을지가 참.... 심사위원들이야 존나 개자식들이고 소트니코바는 인터뷰하면 뭐라고 할지 궁금하다.,0,없음
1127,반디불이,어차피 손연재도 이렇게 금메달 땃으니 할말없음,0,없음
1128,농부,소트니코바 잊지 않겠습니다 기억하겠습니다 ^^발,0,없음
1129,신종원,왜 2년전 영상이 지금 뜨지,0,없음
1130,sjjrw ajdu,이탈리아 해설들 소치 뒤구린거 알고 챔피언이라고 그냥 못 박아버리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
1131,ksm,2:49 화내기 시작,0,없음
1132,Ino M,연아누나가 딴 은메달이요? 제가 본 메달 중 최고였어요,0,없음
1133,festival,진짜 화내네 ㅎㅎ 노노노노 이람서,0,없음
1134,김은영,러시아  소트니코로나~~~코로나!!,0,없음
1135,카광사생팬이좋아하는사람의사생,이탈리아 존나 화나보임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ어감이 그래서 그런가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
1136,김미로,이기려고 뭔들 못하는 나란데 저런거 쯤이야,0,없음
1137,인간제흘리,푸틴한테 얼마나 다리를 벌려준거야...,0,없음
1138,lim,푸하다 추틴아,0,없음
1139,태컴퍼니 Tae Company,소트니코바 보전깨 마렵다,1,없음
1140,동동,러시아ㅋㅋㅋㅋㅋㅋ아오 개빡쳐,0,없음
1141,ᄋᄂᄇᄁ,지금봐도 형광불나방년 생각하면 ㅈ같은데 진짜 조명때문에 은메달이 금메달로 바뀐 그 순간은 그냥 다 누르고 편하게 떠납니다 같았음,0,없음
1142,김재환,소트니 처뛰어가면서 앵기는거 저기서 쫌 높은 사람인걸로ㅠ아는디,0,없음
1143,테리웁스,김연아가 1등이다 사기꾼 들아,0,없음
1144,Selvor96,알고리즘 뇌절해서 죄송한데 이거 왜 지금 추천영상 뜨는거죠?,0,없음
1145,누룽지,역겹다. 혐오스럽다. 극혐이다 이말은 딱 이럴 때 쓰는 거구나.,0,없음
1146,Shubham Kumar,여캠들 마카롱티비 수위 실화냨ㅋㅋㅋ,0,없음
1147,Hanson Mark,나방년은 아직까지도 부끄럼이없었다,0,없음
1148,닮은살걀,"3:46 어이, 화면 터치하거나 마우스 움직여본사람 나오라구 얼른",0,없음
1149,이하영,본인만  일등 하라는법 있나,0,없음
1150,bellaswan lee,단체 도핑으로 지네 나라국기 걸고 올림픽  참가도 못하는 나라가ㅋㅋㅋㅋㅋ,0,없음
1151,pathos VH,어째 소리가 기담인가 그런 게 이상하군요.,0,없음
1152,fat Math,근데 솔직히 저기서 뭔 목소리가 들림? ㅈㄴ 해파리가 말하는거같은데,2,없음
1153,[칠신아카데미아 대학원생]희망쿤,그래도 이 사건 땜에 하나는 확실히 외웠다 스바!시바! 마더(뻐커)!러시아!,0,없음
1154,강민경,머야 이거 왜 이어폰 빼면 이상하게 들리지?,0,없음
1155,진호,국뽕 좋아하지않는사람인데  김연아 국뽕은 ㄹㅈㄷ임,0,없음
1156,D.S LEE,이내서 미사일10만 발과 이지스 항공모함을 만들어야해. 계속 뺏기고 살텐가 손에 후라이펜을 들텐가,0,없음
1157,김쿵쾅,쇼트니코바 저거하고  모델로 전업ㅋㅋ 화장품회사차렸던가 러시아에서도 우리가 빨아줘서 금메달먹어놓고 왜 선수생활안하냐 난리ㅋㅋ,0,없음
1158,Tiger Mich,리본들고 설쳤던 쪼렙이가 금메달딴 그경긴가,0,없음
1159,Fear Of God,이거 하고 소트니코바 은퇴 하지않음?ㅋㅋ,0,없음
1160,JEBE,훠훠훠 러시아가 먼저돠!!!,1,없음
1161,Rilke RainerMaria,푸틴표 방사능 홍차맛 안볼려면 소트니좆바 금매달 줘야지ㄲㅋㅋㅋ,0,없음
1162,NK kim,네 오늘도 나방 인스타 갔다오게 되네요,0,없음
