,댓글 작성자,댓글,좋아요 개수,하트 유/무
41,언소귀,"김연아와 코치들은 경기전에 이미 알고 있었지요. 금메달이 아니라는 것을. 경기후 표정, 소치마스코드 목조르는 동작, 점수발표후 코치들과 같이 웃을때 짐작할 수있습니다. 지금봐도 김연아선수가 대단하고 또 가슴아픈것은, 그걸 알고도 이런 경기를 했다는겁니다. 그 멘탈의 강함은 상상할 수 없을 정도지요. 또 하나  '너는 금메달이 아니야' 이 정보를 누가 알려줬을까요?  보통 선수보호를 위해 시합전에 감춰야되는 정보를 선수와 코치 모두에게 알려준사람은?",4천,없음
42,서민준,"은메달로 만족하고, 최선을 다했다는것에 초점을 맟추고 결과에 만족하는게 진짜 프로지.. 그저 갓연아다 진짜...ㅠㅠ",14,없음
43,Miran Han,볼때마다 러시아에 빡치고  맘아픈 영상  ㅠㅜ,1.6천,없음
44,묭묭,근데 진짜 소트니코바는 피겨 100년 역사상 독보적인 무명 하루 반짝스타임.....국제대회 우승은커녕 세계선수권 메달조차도 없슨 쩌리 무명이 그 종목을 거의 10년간 대표했던 간판선수를 이겼지만 러시아 피겨팬들조차도 인정안하는 중ㅋㅋㅋㅋ,3,없음
45,이지,이때 움짤중에 은메달 잠깐 금빛으로 반짝이는 거 진짜 소름돋았는데 무슨 하늘도 인정한 것 처럼,477,없음
46,Eun Chae,진짜 너무 속상하다 울음 참는듯한 표정이 순간 보이는데 아무것도 해줄수 있는게 없었다는게 아직까지도 너무 미안하다..,20,없음
47,초코초코코,러시아도 쓰레기지만 연느님께 너무 미안하다 우리나라가 강대국이아니라서 미국이나 다른 강대국이었다면 저런 대우를 받았을까,3.4천,없음
48,인생힘드러,김연아가 진정한 금메달리스트라는 건 러시아 빼고 다 안다 ㅇㅇ 저때 김연아가 맸던 은메달보다 빛나는 금메달은 없을 것임 김연아 덕에 피겨 유망주도 많이 발굴되고 있고 지원도 많이 늘었음 여러모로 대단하고 아름다운 사람,20,없음
49,망고스틴,연아는 세계 피겨챔피언이고  사람들의 우상이었고 우리나라의대표였고 자랑거리였고 모두의 딸 언니,2,없음
50,현쌤 TV,전 세계가 한마음 한뜻으로 개빡쳤던 순간. 썩은 올림픽에서 홀로 싸운 우리 김연아 선수에게 무한한 박수를 보냅니다.,9,없음
51,Annette KJV,시바 이 두 해설자위원들 코로나로 부터 자유롭기를 기도해요,7.6천,없음
